gameID,gameDate,Team,Opponent,homeRoad,gamesPlayed,Win,Loss,Tie,OTLoss,points,pointPct,regulationWins,regulationAndOtWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,powerPlayPct,penaltyKillPct,powerPlayNetPct,penaltyKillNetPct,shotsForPerGame,shotsAgainstPerGame,faceoffWinPct
2003020001,2003-10-08,New Jersey Devils,Boston Bruins,1,1,0,0,1.0,0,1,0.5,0,0,0,3,3,3.0,3.0,0.75,0.75,0.75,0.75,35.0,31.0,0.43
2003020003,2003-10-08,Minnesota Wild,Chicago Blackhawks,1,1,0,1,0.0,0,0,0.0,0,0,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,33.0,22.0,0.57
2003020002,2003-10-08,Dallas Stars,Anaheim Ducks,0,1,1,0,0.0,0,2,1.0,1,1,0,4,1,4.0,1.0,0.33,0.75,0.33,0.75,22.0,21.0,0.53
2003020011,2003-10-09,San Jose Sharks,Edmonton Oilers,1,1,0,1,0.0,0,0,0.0,0,0,0,2,5,2.0,5.0,0.33,0.6,0.33,0.6,21.0,28.0,0.5
2003020009,2003-10-09,Los Angeles Kings,Detroit Red Wings,1,1,0,1,0.0,0,0,0.0,0,0,0,2,3,2.0,3.0,0.0,0.71,0.0,0.714285,23.0,38.0,0.55
2003020010,2003-10-09,Anaheim Ducks,Nashville Predators,1,1,0,1,0.0,0,0,0.0,0,0,0,1,3,1.0,3.0,0.0,0.8,0.0,0.8,29.0,26.0,0.55
2003020012,2003-10-09,Vancouver Canucks,Calgary Flames,0,1,1,0,0.0,0,2,1.0,1,1,0,4,1,4.0,1.0,0.4,0.67,0.4,0.666666,26.0,23.0,0.46
2003020006,2003-10-09,Washington Capitals,New York Islanders,0,1,1,0,0.0,0,2,1.0,1,1,0,6,1,6.0,1.0,0.22,1.0,0.22,1.0,37.0,18.0,0.5
2003020007,2003-10-09,Columbus Blue Jackets,Winnipeg Jets,1,1,0,1,0.0,0,0,0.0,0,0,0,1,2,1.0,2.0,0.0,0.88,0.0,0.875,27.0,27.0,0.6
2003020004,2003-10-09,Ottawa Senators,Montréal Canadiens,0,1,1,0,0.0,0,2,1.0,1,1,0,5,2,5.0,2.0,0.67,1.0,0.67,1.0,28.0,29.0,0.62
2003020005,2003-10-09,Buffalo Sabres,Philadelphia Flyers,1,1,0,1,0.0,0,0,0.0,0,0,0,0,2,0.0,2.0,0.0,0.67,0.0,0.666666,17.0,26.0,0.51
2003020008,2003-10-09,Florida Panthers,Carolina Hurricanes,0,1,1,0,0.0,0,2,1.0,1,1,0,3,1,3.0,1.0,0.0,1.0,0.0,1.0,26.0,32.0,0.45
2003020015,2003-10-10,Minnesota Wild,New York Rangers,0,1,1,0,0.0,0,2,1.0,1,1,0,5,3,5.0,3.0,0.0,1.0,0.0,1.0,19.0,28.0,0.58
2003020013,2003-10-10,Pittsburgh Penguins,Los Angeles Kings,0,1,0,1,0.0,0,0,0.0,0,0,0,0,3,0.0,3.0,0.0,0.86,-1.0,0.857142,11.0,49.0,0.44
2003020014,2003-10-10,Boston Bruins,Tampa Bay Lightning,1,1,0,1,0.0,0,0,0.0,0,0,0,1,5,1.0,5.0,0.0,0.57,0.0,0.571428,30.0,25.0,0.47
2003020016,2003-10-10,Chicago Blackhawks,Colorado Avalanche,1,1,0,1,0.0,0,0,0.0,0,0,0,0,5,0.0,5.0,0.0,0.67,0.0,0.666666,31.0,29.0,0.52
2003020017,2003-10-10,St. Louis Blues,Arizona Coyotes,1,1,0,0,0.0,1,1,0.5,0,0,0,1,2,1.0,2.0,0.14,0.75,0.14,0.75,24.0,21.0,0.48
2003020022,2003-10-11,Washington Capitals,Winnipeg Jets,0,1,0,1,0.0,0,0,0.0,0,0,0,3,4,3.0,4.0,0.17,1.0,0.17,1.0,30.0,19.0,0.44
2003020020,2003-10-11,Detroit Red Wings,Ottawa Senators,1,1,1,0,0.0,0,2,1.0,0,1,0,3,2,3.0,2.0,0.38,0.8,0.38,0.8,19.0,23.0,0.56
2003020026,2003-10-11,Nashville Predators,Dallas Stars,0,1,0,1,0.0,0,0,0.0,0,0,0,1,3,1.0,3.0,0.12,0.75,0.12,0.75,25.0,30.0,0.48
